Date,Open,High,Low,Close,Adj Close,Volume
2023-08-23,2.010354,2.044579,1.985968,2.016956,2.016956,2986565
2023-08-24,2.016987,2.034839,1.975474,1.984384,1.984384,2470399
2023-08-25,1.984453,2.017243,1.954461,1.996776,1.996776,3260008
2023-08-26,1.996859,2.010678,1.959673,1.960397,1.960397,1536817
2023-08-27,1.960387,1.982111,1.944735,1.954865,1.954865,1606480
2023-08-28,1.954927,1.962069,1.913038,1.947915,1.947915,2054012
2023-08-29,1.947670,1.982701,1.926975,1.980211,1.980211,2843639
2023-08-30,1.980272,2.064401,1.949225,2.001402,2.001402,5444797
2023-08-31,2.001466,2.017650,1.894026,1.910247,1.910247,3537874
2023-09-01,1.910446,1.925171,1.844965,1.850499,1.850499,2667148
2023-09-02,1.850413,1.895692,1.838658,1.879909,1.879909,3080804
2023-09-03,1.879874,1.889377,1.824214,1.829807,1.829807,2754148
2023-09-04,1.829906,1.863795,1.806651,1.811643,1.811643,2551817
2023-09-05,1.811724,1.844393,1.800110,1.833236,1.833236,1988439
2023-09-06,1.833499,1.834719,1.800953,1.812328,1.812328,2195388
2023-09-07,1.812277,1.845993,1.807682,1.842409,1.842409,2218345
2023-09-08,1.841694,1.853044,1.798483,1.841620,1.841620,2141453
2023-09-09,1.841853,1.933362,1.834156,1.848504,1.848504,4803539
2023-09-10,1.848647,1.902491,1.807783,1.862416,1.862416,4254342
2023-09-11,1.862483,1.891652,1.769511,1.787028,1.787028,3295621
2023-09-12,1.786967,1.834049,1.786593,1.804463,1.804463,1756151
2023-09-13,1.804550,1.830220,1.793028,1.818366,1.818366,1490442
2023-09-14,1.818346,1.833419,1.800672,1.808490,1.808490,1883518
2023-09-15,1.808765,1.830823,1.802018,1.821508,1.821508,2794376
2023-09-16,1.821333,1.835083,1.817077,1.829497,1.829497,2138201
2023-09-17,1.829466,1.855783,1.794178,1.808605,1.808605,2810337
2023-09-18,1.808487,1.824119,1.788992,1.809436,1.809436,1949791
2023-09-19,1.809485,1.822185,1.803271,1.816983,1.816983,1666967
2023-09-20,1.816957,1.821623,1.784135,1.798391,1.798391,2018397
2023-09-21,1.798324,1.808308,1.750944,1.766398,1.766398,2107753
2023-09-22,1.766447,1.793690,1.751356,1.787734,1.787734,1404962
2023-09-23,1.787704,1.802547,1.770199,1.776883,1.776883,1469205
2023-09-24,1.777188,1.784971,1.738513,1.740316,1.740316,1413218
2023-09-25,1.740296,1.758454,1.727846,1.754024,1.754024,1608041
2023-09-26,1.753854,1.760899,1.724901,1.731971,1.731971,1338594
2023-09-27,1.732007,1.753115,1.715725,1.721912,1.721912,1360793
2023-09-28,1.722013,1.744701,1.720930,1.735001,1.735001,1351275
2023-09-29,1.734922,1.760311,1.733886,1.747712,1.747712,1712769
2023-09-30,1.747707,1.805161,1.745142,1.751624,1.751624,3458934
2023-10-01,1.751560,1.790056,1.749635,1.777610,1.777610,1675412
2023-10-02,1.777456,1.780862,1.735130,1.750655,1.750655,2503258
2023-10-03,1.750580,1.762794,1.714644,1.716045,1.716045,1700000
2023-10-04,1.716060,1.744511,1.690107,1.717274,1.717274,2195624
2023-10-05,1.717372,1.761503,1.702094,1.726702,1.726702,3130521
2023-10-06,1.726715,1.740625,1.720816,1.727695,1.727695,1801969
2023-10-07,1.727624,1.736916,1.723202,1.734855,1.734855,1183252
2023-10-08,1.737288,1.780849,1.720596,1.735493,1.735493,2644963
2023-10-09,1.735488,1.735488,1.612011,1.640775,1.640775,2648313
2023-10-10,1.640746,1.659239,1.623340,1.629263,1.629263,1803219
2023-10-11,1.629208,1.640503,1.591653,1.591675,1.591675,1533642
2023-10-12,1.591506,1.599428,1.572044,1.582909,1.582909,969771
2023-10-13,1.582731,1.618899,1.574781,1.596898,1.596898,1514832
2023-10-14,1.596955,1.617382,1.594294,1.605568,1.605568,1143525
2023-10-15,1.605559,1.625245,1.595271,1.602509,1.602509,952038
2023-10-16,1.602656,1.621843,1.600356,1.607538,1.607538,1661489
2023-10-17,1.607494,1.611273,1.587708,1.598358,1.598358,1479060
2023-10-18,1.598468,1.605596,1.547821,1.551318,1.551318,1424293
2023-10-19,1.551246,1.624699,1.534251,1.557182,1.557182,3067643
2023-10-20,1.557248,1.587070,1.555184,1.566585,1.566585,1399395
2023-10-21,1.566643,1.595063,1.565109,1.586923,1.586923,1184578
2023-10-22,1.587026,1.652352,1.579990,1.613645,1.613645,4614807
2023-10-23,1.614616,1.635796,1.590913,1.631175,1.631175,2682349
2023-10-24,1.630727,1.689557,1.622104,1.653981,1.653981,2871603
2023-10-25,1.654358,1.685492,1.636832,1.674348,1.674348,1806939
2023-10-26,1.674255,1.781650,1.665845,1.697438,1.697438,7048282
2023-10-27,1.697829,1.744632,1.677200,1.710107,1.710107,3675007
2023-10-28,1.710084,1.733119,1.707931,1.712317,1.712317,1187435
2023-10-29,1.712218,1.734169,1.702396,1.733693,1.733693,1955007
2023-10-30,1.733633,1.736379,1.707484,1.724226,1.724226,1699832
2023-10-31,1.724116,1.752793,1.690428,1.717323,1.717323,2752778
2023-11-01,1.716762,1.731214,1.681640,1.728746,1.728746,2298533
2023-11-02,1.728783,1.744900,1.715228,1.730554,1.730554,2037574
